date,confirmed,deaths,state
2020-03-11,1,0,Mississippi
2020-03-12,1,0,Mississippi
2020-03-13,6,0,Mississippi
2020-03-15,10,0,Mississippi
2020-03-16,12,0,Mississippi
2020-03-17,21,0,Mississippi
2020-03-18,34,0,Mississippi
2020-03-19,50,1,Mississippi
2020-03-20,80,1,Mississippi
2020-03-21,140,1,Mississippi
2020-03-22,207,1,Mississippi
2020-03-23,249,1,Mississippi
2020-03-24,320,1,Mississippi
2020-03-25,377,5,Mississippi
2020-03-26,485,6,Mississippi
2020-03-27,579,8,Mississippi
2020-03-28,663,13,Mississippi
2020-03-29,758,14,Mississippi
2020-03-30,847,16,Mississippi
2020-03-31,937,20,Mississippi
2020-04-01,"1,073",22,Mississippi
2020-04-02,"1,177",26,Mississippi
2020-04-03,"1,358",29,Mississippi
2020-04-04,"1,455",35,Mississippi
2020-04-05,"1,638",43,Mississippi
2020-04-06,"1,738",51,Mississippi
2020-04-07,"1,915",59,Mississippi
2020-04-08,"2,003",67,Mississippi
2020-04-09,"2,260",76,Mississippi
2020-04-10,"2,469",82,Mississippi
2020-04-11,"2,642",93,Mississippi
2020-04-12,"2,781",96,Mississippi
2020-04-13,"2,942",98,Mississippi
2020-04-14,"3,087",111,Mississippi
2020-04-15,"3,360",122,Mississippi
2020-04-16,"3,624",129,Mississippi
2020-04-17,"3,793",140,Mississippi
2020-04-18,"3,974",152,Mississippi
2020-04-19,"4,274",159,Mississippi
2020-04-20,"4,512",169,Mississippi
2020-04-21,"4,716",183,Mississippi
2020-04-22,"4,894",193,Mississippi
2020-04-23,"5,153",201,Mississippi
2020-04-24,"5,434",209,Mississippi
2020-04-25,"5,718",221,Mississippi
2020-04-26,"5,911",227,Mississippi
2020-04-27,"6,094",229,Mississippi
2020-04-28,"6,342",239,Mississippi
2020-04-29,"6,569",250,Mississippi
2020-04-30,"6,815",264,Mississippi
2020-05-01,"7,212",281,Mississippi
2020-05-02,"7,441",291,Mississippi
2020-05-03,"7,550",303,Mississippi
2020-05-04,"7,877",310,Mississippi
2020-05-05,"8,207",342,Mississippi
2020-05-06,"8,424",374,Mississippi
2020-05-07,"8,686",396,Mississippi
2020-05-08,"9,090",409,Mississippi
2020-05-09,"9,378",421,Mississippi
2020-05-10,"9,501",430,Mississippi
2020-05-11,"9,674",435,Mississippi
2020-05-12,"9,908",457,Mississippi
2020-05-13,"10,090",465,Mississippi
2020-05-14,"10,483",480,Mississippi
2020-05-15,"10,801",493,Mississippi
2020-05-16,"11,123",510,Mississippi
2020-05-17,"11,296",521,Mississippi
2020-05-18,"11,432",528,Mississippi
2020-05-19,"11,967",570,Mississippi
2020-05-20,"12,222",580,Mississippi
2020-05-21,"12,642",596,Mississippi
2020-05-22,"13,005",616,Mississippi
2020-05-23,"13,252",625,Mississippi
2020-05-24,"13,458",635,Mississippi
2020-05-25,"13,731",652,Mississippi
2020-05-26,"14,044",670,Mississippi
2020-05-27,"14,372",693,Mississippi
2020-05-28,"14,790",710,Mississippi
2020-05-29,"15,229",723,Mississippi
2020-05-30,"15,501",734,Mississippi
2020-05-31,"15,501",734,Mississippi
2020-06-01,"15,752",739,Mississippi
2020-06-02,"16,054",754,Mississippi
2020-06-03,"16,322",782,Mississippi
2020-06-04,"16,560",794,Mississippi
2020-06-05,"16,769",803,Mississippi
2020-06-06,"16,769",803,Mississippi
2020-06-07,"17,270",817,Mississippi
2020-06-08,"17,768",837,Mississippi
2020-06-09,"17,768",837,Mississippi
2020-06-10,"18,483",868,Mississippi
2020-06-11,"18,483",868,Mississippi
2020-06-12,"19,091",881,Mississippi
2020-06-13,"19,348",889,Mississippi
2020-06-14,"19,516",891,Mississippi
2020-06-15,"19,799",895,Mississippi
2020-06-16,"20,152",915,Mississippi
2020-06-17,"20,641",938,Mississippi
2020-06-18,"20,641",938,Mississippi
2020-06-19,"20,641",938,Mississippi
2020-06-20,"20,641",938,Mississippi
2020-06-21,"20,641",938,Mississippi
2020-06-22,"22,287",978,Mississippi
2020-06-23,"22,898",989,Mississippi
2020-06-24,"23,424","1,011",Mississippi
2020-06-25,"24,516","1,016",Mississippi
2020-06-26,"25,066","1,022",Mississippi
2020-06-27,"25,531","1,035",Mississippi
2020-06-28,"25,892","1,039",Mississippi
2020-06-29,"26,567","1,059",Mississippi
2020-06-30,"27,247","1,073",Mississippi
2020-07-01,"27,900","1,082",Mississippi
2020-07-02,"28,770","1,092",Mississippi
2020-07-03,"28,770","1,092",Mississippi
2020-07-04,"30,674","1,107",Mississippi
2020-07-05,"30,900","1,111",Mississippi
2020-07-06,"31,257","1,114",Mississippi
2020-07-07,"32,214","1,158",Mississippi
2020-07-08,"32,288","1,188",Mississippi
2020-07-09,"33,591","1,204",Mississippi
2020-07-10,"34,622","1,215",Mississippi
2020-07-11,"35,419","1,230",Mississippi
2020-07-12,"36,287","1,249",Mississippi
2020-07-13,"36,680","1,250",Mississippi
2020-07-14,"37,542","1,272",Mississippi
2020-07-15,"38,567","1,290",Mississippi
2020-07-16,"39,797","1,308",Mississippi
2020-07-17,"40,829","1,332",Mississippi
2020-07-18,"41,846","1,346",Mississippi
2020-07-19,"42,638","1,355",Mississippi
2020-07-20,"43,889","1,358",Mississippi
2020-07-21,"45,524","1,389",Mississippi
2020-07-22,"47,071","1,423",Mississippi
2020-07-23,"48,053","1,436",Mississippi
2020-07-24,"49,663","1,463",Mississippi
2020-07-25,"51,097","1,480",Mississippi
2020-07-26,"52,304","1,495",Mississippi
2020-07-27,"52,957","1,501",Mississippi
2020-07-28,"54,299","1,543",Mississippi
2020-07-29,"55,804","1,563",Mississippi
2020-07-30,"57,579","1,611",Mississippi
2020-07-31,"58,747","1,663",Mississippi
2020-08-01,"59,881","1,693",Mississippi
2020-08-02,"60,553","1,703",Mississippi
2020-08-03,"61,125","1,711",Mississippi
2020-08-04,"62,199","1,753",Mississippi
2020-08-05,"63,444","1,804",Mississippi
2020-08-06,"64,400","1,825",Mississippi
2020-08-07,"65,436","1,848",Mississippi
2020-08-08,"66,646","1,874",Mississippi
2020-08-09,"67,173","1,896",Mississippi
2020-08-10,"67,649","1,912",Mississippi
2020-08-11,"68,293","1,944",Mississippi
2020-08-12,"69,374","1,989",Mississippi
2020-08-13,"69,986","2,011",Mississippi
2020-08-14,"70,930","2,043",Mississippi
2020-08-15,"71,755","2,080",Mississippi
2020-08-16,"72,136","2,084",Mississippi
2020-08-17,"72,413","2,095",Mississippi
2020-08-18,"73,207","2,128",Mississippi
2020-08-19,"74,555","2,163",Mississippi
2020-08-20,"75,449","2,190",Mississippi
2020-08-21,"76,323","2,214",Mississippi
2020-08-22,"77,268","2,237",Mississippi
2020-08-23,"77,894","2,240",Mississippi
2020-08-24,"78,405","2,248",Mississippi
2020-08-25,"79,206","2,315",Mississippi
2020-08-26,"80,110","2,373",Mississippi
2020-08-27,"80,695","2,399",Mississippi
2020-08-28,"81,294","2,413",Mississippi
2020-08-29,"82,029","2,427",Mississippi
2020-08-30,"82,676","2,441",Mississippi
2020-08-31,"82,950","2,473",Mississippi
2020-09-01,"83,584","2,493",Mississippi
2020-09-02,"84,365","2,526",Mississippi
2020-09-03,"85,116","2,536",Mississippi
2020-09-04,"85,939","2,558",Mississippi
2020-09-05,"86,478","2,569",Mississippi
2020-09-06,"86,888","2,584",Mississippi
2020-09-07,"87,130","2,585",Mississippi
2020-09-08,"87,379","2,585",Mississippi
2020-09-09,"87,805","2,623",Mississippi
2020-09-10,"88,322","2,656",Mississippi
2020-09-11,"89,175","2,670",Mississippi
2020-09-12,"89,620","2,685",Mississippi
2020-09-13,"89,874","2,697",Mississippi
2020-09-14,"90,018","2,706",Mississippi
2020-09-15,"90,523","2,734",Mississippi
2020-09-16,"91,234","2,756",Mississippi
2020-09-17,"91,935","2,780",Mississippi
2020-09-18,"91,935","2,780",Mississippi
2020-09-19,"93,087","2,809",Mississippi
2020-09-20,"93,364","2,810",Mississippi
2020-09-21,"93,556","2,810",Mississippi
2020-09-22,"94,021","2,846",Mississippi
2020-09-23,"94,573","2,870",Mississippi
2020-09-24,"95,310","2,874",Mississippi
2020-09-25,"96,032","2,894",Mississippi
2020-09-26,"96,677","2,911",Mississippi
