date,confirmed,deaths,state
2020-03-06,1,0,Indiana
2020-03-07,1,0,Indiana
2020-03-08,4,0,Indiana
2020-03-09,5,0,Indiana
2020-03-10,10,0,Indiana
2020-03-11,11,0,Indiana
2020-03-12,12,0,Indiana
2020-03-13,15,0,Indiana
2020-03-14,15,0,Indiana
2020-03-15,26,1,Indiana
2020-03-16,30,2,Indiana
2020-03-17,39,4,Indiana
2020-03-18,56,5,Indiana
2020-03-19,79,5,Indiana
2020-03-20,124,9,Indiana
2020-03-21,199,14,Indiana
2020-03-22,256,19,Indiana
2020-03-23,361,24,Indiana
2020-03-24,474,29,Indiana
2020-03-25,636,35,Indiana
2020-03-26,939,44,Indiana
2020-03-27,"1,221",47,Indiana
2020-03-28,"1,509",58,Indiana
2020-03-29,"1,780",76,Indiana
2020-03-30,"2,152",91,Indiana
2020-03-31,"2,558",113,Indiana
2020-04-01,"3,026",135,Indiana
2020-04-02,"3,422",157,Indiana
2020-04-03,"3,935",189,Indiana
2020-04-04,"4,396",214,Indiana
2020-04-05,"4,923",248,Indiana
2020-04-06,"5,479",273,Indiana
2020-04-07,"5,901",309,Indiana
2020-04-08,"6,323",338,Indiana
2020-04-09,"6,881",375,Indiana
2020-04-10,"7,395",400,Indiana
2020-04-11,"7,881",420,Indiana
2020-04-12,"8,200",449,Indiana
2020-04-13,"8,492",484,Indiana
2020-04-14,"8,909",530,Indiana
2020-04-15,"9,486",568,Indiana
2020-04-16,"10,085",602,Indiana
2020-04-17,"10,590",638,Indiana
2020-04-18,"11,146",666,Indiana
2020-04-19,"11,625",703,Indiana
2020-04-20,"12,007",741,Indiana
2020-04-21,"12,385",790,Indiana
2020-04-22,"12,989",840,Indiana
2020-04-23,"13,633",878,Indiana
2020-04-24,"14,330",915,Indiana
2020-04-25,"14,954",956,Indiana
2020-04-26,"15,900",990,Indiana
2020-04-27,"16,512","1,032",Indiana
2020-04-28,"17,106","1,066",Indiana
2020-04-29,"17,752","1,109",Indiana
2020-04-30,"18,541","1,154",Indiana
2020-05-01,"19,192","1,190",Indiana
2020-05-02,"19,826","1,234",Indiana
2020-05-03,"20,393","1,266",Indiana
2020-05-04,"20,915","1,304",Indiana
2020-05-05,"21,746","1,342",Indiana
2020-05-06,"22,366","1,385",Indiana
2020-05-07,"22,998","1,419",Indiana
2020-05-08,"23,585","1,444",Indiana
2020-05-09,"23,972","1,476",Indiana
2020-05-10,"24,432","1,510",Indiana
2020-05-11,"24,938","1,551",Indiana
2020-05-12,"25,311","1,589",Indiana
2020-05-13,"25,912","1,616",Indiana
2020-05-14,"26,495","1,658",Indiana
2020-05-15,"27,128","1,690",Indiana
2020-05-16,"27,620","1,718",Indiana
2020-05-17,"28,101","1,748",Indiana
2020-05-18,"28,550","1,787",Indiana
2020-05-19,"29,100","1,816",Indiana
2020-05-20,"29,743","1,847",Indiana
2020-05-21,"30,202","1,884",Indiana
2020-05-22,"30,690","1,902",Indiana
2020-05-23,"31,163","1,926",Indiana
2020-05-24,"31,500","1,941",Indiana
2020-05-25,"31,857","1,962",Indiana
2020-05-26,"32,205","1,981",Indiana
2020-05-27,"32,799","1,995",Indiana
2020-05-28,"33,276","2,013",Indiana
2020-05-29,"33,834","2,034",Indiana
2020-05-30,"34,173","2,055",Indiana
2020-05-31,"34,454","2,071",Indiana
2020-06-01,"34,865","2,091",Indiana
2020-06-02,"35,342","2,106",Indiana
2020-06-03,"35,767","2,130",Indiana
2020-06-04,"36,268","2,152",Indiana
2020-06-05,"36,688","2,173",Indiana
2020-06-06,"37,090","2,181",Indiana
2020-06-07,"37,322","2,196",Indiana
2020-06-08,"37,708","2,212",Indiana
2020-06-09,"38,014","2,235",Indiana
2020-06-10,"38,409","2,252",Indiana
2020-06-11,"38,823","2,267",Indiana
2020-06-12,"39,227","2,280",Indiana
2020-06-13,"39,616","2,289",Indiana
2020-06-14,"39,943","2,310",Indiana
2020-06-15,"40,357","2,323",Indiana
2020-06-16,"40,594","2,336",Indiana
2020-06-17,"41,143","2,353",Indiana
2020-06-18,"41,510","2,376",Indiana
2020-06-19,"41,891","2,389",Indiana
2020-06-20,"42,262","2,399",Indiana
2020-06-21,"42,510","2,410",Indiana
2020-06-22,"42,813","2,424",Indiana
2020-06-23,"43,085","2,428",Indiana
2020-06-24,"43,596","2,438",Indiana
2020-06-25,"44,041","2,451",Indiana
2020-06-26,"44,518","2,463",Indiana
2020-06-27,"44,866","2,473",Indiana
2020-06-28,"45,166","2,482",Indiana
2020-06-29,"45,536","2,490",Indiana
2020-06-30,"45,892","2,497",Indiana
2020-07-01,"46,332","2,508",Indiana
2020-07-02,"46,859","2,516",Indiana
2020-07-03,"47,355","2,525",Indiana
2020-07-04,"47,944","2,532",Indiana
2020-07-05,"48,258","2,543",Indiana
2020-07-06,"48,558","2,558",Indiana
2020-07-07,"49,003","2,564",Indiana
2020-07-08,"49,502","2,572",Indiana
2020-07-09,"50,221","2,582",Indiana
2020-07-10,"50,978","2,589",Indiana
2020-07-11,"51,523","2,597",Indiana
2020-07-12,"51,969","2,610",Indiana
2020-07-13,"52,612","2,619",Indiana
2020-07-14,"53,289","2,624",Indiana
2020-07-15,"54,009","2,634",Indiana
2020-07-16,"54,745","2,643",Indiana
2020-07-17,"55,578","2,652",Indiana
2020-07-18,"56,487","2,657",Indiana
2020-07-19,"57,126","2,665",Indiana
2020-07-20,"57,839","2,678",Indiana
2020-07-21,"58,575","2,687",Indiana
2020-07-22,"59,509","2,700",Indiana
2020-07-23,"60,504","2,710",Indiana
2020-07-24,"61,418","2,719",Indiana
2020-07-25,"62,252","2,727",Indiana
2020-07-26,"62,802","2,735",Indiana
2020-07-27,"63,602","2,739",Indiana
2020-07-28,"64,222","2,745",Indiana
2020-07-29,"65,187","2,764",Indiana
2020-07-30,"66,088","2,773",Indiana
2020-07-31,"67,090","2,783",Indiana
2020-08-01,"67,881","2,794",Indiana
2020-08-02,"68,458","2,803",Indiana
2020-08-03,"69,297","2,812",Indiana
2020-08-04,"70,047","2,821",Indiana
2020-08-05,"71,121","2,825",Indiana
2020-08-06,"72,400","2,839",Indiana
2020-08-07,"73,449","2,853",Indiana
2020-08-08,"74,494","2,863",Indiana
2020-08-09,"75,166","2,869",Indiana
2020-08-10,"76,049","2,884",Indiana
2020-08-11,"76,747","2,897",Indiana
2020-08-12,"77,821","2,912",Indiana
2020-08-13,"78,899","2,927",Indiana
2020-08-14,"80,033","2,941",Indiana
2020-08-15,"80,807","2,950",Indiana
2020-08-16,"81,417","2,961",Indiana
2020-08-17,"82,321","2,980",Indiana
2020-08-18,"82,866","2,985",Indiana
2020-08-19,"83,876","2,996",Indiana
2020-08-20,"85,115","3,008",Indiana
2020-08-21,"86,258","3,016",Indiana
2020-08-22,"86,904","3,029",Indiana
2020-08-23,"87,562","3,040",Indiana
2020-08-24,"88,368","3,053",Indiana
2020-08-25,"89,303","3,063",Indiana
2020-08-26,"90,426","3,066",Indiana
2020-08-27,"91,250","3,081",Indiana
2020-08-28,"92,381","3,090",Indiana
2020-08-29,"93,244","3,098",Indiana
2020-08-30,"94,122","3,105",Indiana
2020-08-31,"94,831","3,117",Indiana
2020-09-01,"95,695","3,122",Indiana
2020-09-02,"96,791","3,131",Indiana
2020-09-03,"97,818","3,136",Indiana
2020-09-04,"98,889","3,149",Indiana
2020-09-05,"99,732","3,159",Indiana
2020-09-06,"100,321","3,173",Indiana
2020-09-07,"100,710","3,182",Indiana
2020-09-08,"101,418","3,195",Indiana
2020-09-09,"102,164","3,206",Indiana
2020-09-10,"103,431","3,217",Indiana
2020-09-11,"104,470","3,227",Indiana
2020-09-12,"105,213","3,231",Indiana
2020-09-13,"105,915","3,244",Indiana
2020-09-14,"106,661","3,256",Indiana
2020-09-15,"107,274","3,267",Indiana
2020-09-16,"108,109","3,275",Indiana
2020-09-17,"109,581","3,287",Indiana
2020-09-18,"110,664","3,296",Indiana
2020-09-19,"111,396","3,305",Indiana
2020-09-20,"111,926","3,309",Indiana
2020-09-21,"112,568","3,314",Indiana
2020-09-22,"113,287","3,326",Indiana
2020-09-23,"114,198","3,340",Indiana
2020-09-24,"115,375","3,350",Indiana
2020-09-25,"116,516","3,359",Indiana
2020-09-26,"117,427","3,376",Indiana
2020-09-27,"118,298","3,386",Indiana
2020-09-28,"119,053","3,398",Indiana
2020-09-29,"120,019","3,405",Indiana
