date,confirmed,deaths,state
2020-03-05,3,0,Maryland
2020-03-06,3,0,Maryland
2020-03-07,3,0,Maryland
2020-03-08,5,0,Maryland
2020-03-09,5,0,Maryland
2020-03-10,6,0,Maryland
2020-03-11,9,0,Maryland
2020-03-12,12,0,Maryland
2020-03-13,17,0,Maryland
2020-03-14,26,0,Maryland
2020-03-15,31,0,Maryland
2020-03-16,37,0,Maryland
2020-03-17,57,0,Maryland
2020-03-18,85,1,Maryland
2020-03-19,107,1,Maryland
2020-03-20,150,2,Maryland
2020-03-21,190,2,Maryland
2020-03-22,244,3,Maryland
2020-03-23,288,3,Maryland
2020-03-24,349,3,Maryland
2020-03-25,423,4,Maryland
2020-03-26,580,4,Maryland
2020-03-27,774,5,Maryland
2020-03-28,992,5,Maryland
2020-03-29,"1,239",10,Maryland
2020-03-30,"1,413",15,Maryland
2020-03-31,"1,660",18,Maryland
2020-04-01,"1,985",31,Maryland
2020-04-02,"2,331",36,Maryland
2020-04-03,"2,758",42,Maryland
2020-04-04,"3,125",53,Maryland
2020-04-05,"3,609",67,Maryland
2020-04-06,"4,045",91,Maryland
2020-04-07,"4,371",103,Maryland
2020-04-08,"5,529",124,Maryland
2020-04-09,"6,185",138,Maryland
2020-04-10,"6,968",171,Maryland
2020-04-11,"7,694",206,Maryland
2020-04-12,"8,225",235,Maryland
2020-04-13,"8,936",262,Maryland
2020-04-14,"9,472",302,Maryland
2020-04-15,"10,032",349,Maryland
2020-04-16,"10,784",392,Maryland
2020-04-17,"11,572",425,Maryland
2020-04-18,"12,308",463,Maryland
2020-04-19,"12,830",486,Maryland
2020-04-20,"13,684",516,Maryland
2020-04-21,"14,193",584,Maryland
2020-04-22,"14,775",631,Maryland
2020-04-23,"15,737",680,Maryland
2020-04-24,"16,616",723,Maryland
2020-04-25,"17,766",797,Maryland
2020-04-26,"18,581",827,Maryland
2020-04-27,"19,487",858,Maryland
2020-04-28,"20,113",929,Maryland
2020-04-29,"20,849",985,Maryland
2020-04-30,"21,742","1,047",Maryland
2020-05-01,"23,472","1,098",Maryland
2020-05-02,"24,473","1,156",Maryland
2020-05-03,"25,462","1,182",Maryland
2020-05-04,"26,408","1,216",Maryland
2020-05-05,"27,117","1,290",Maryland
2020-05-06,"28,163","1,338",Maryland
2020-05-07,"29,374","1,401",Maryland
2020-05-08,"30,485","1,453",Maryland
2020-05-09,"31,534","1,510",Maryland
2020-05-10,"32,587","1,538",Maryland
2020-05-11,"33,373","1,573",Maryland
2020-05-12,"34,061","1,643",Maryland
2020-05-13,"34,812","1,694",Maryland
2020-05-14,"35,903","1,748",Maryland
2020-05-15,"36,986","1,792",Maryland
2020-05-16,"37,968","1,842",Maryland
2020-05-17,"38,804","1,876",Maryland
2020-05-18,"39,762","1,903",Maryland
2020-05-19,"41,546","1,963",Maryland
2020-05-20,"42,323","2,004",Maryland
2020-05-21,"43,531","2,045",Maryland
2020-05-22,"44,424","2,092",Maryland
2020-05-23,"45,495","2,130",Maryland
2020-05-24,"46,313","2,162",Maryland
2020-05-25,"47,152","2,187",Maryland
2020-05-26,"47,687","2,217",Maryland
2020-05-27,"48,423","2,270",Maryland
2020-05-28,"49,709","2,307",Maryland
2020-05-29,"50,988","2,348",Maryland
2020-05-30,"52,015","2,390",Maryland
2020-05-31,"52,778","2,411",Maryland
2020-06-01,"53,327","2,431",Maryland
2020-06-02,"54,175","2,474",Maryland
2020-06-03,"54,982","2,519",Maryland
2020-06-04,"55,858","2,546",Maryland
2020-06-05,"56,770","2,580",Maryland
2020-06-06,"57,482","2,616",Maryland
2020-06-07,"57,973","2,625",Maryland
2020-06-08,"58,404","2,653",Maryland
2020-06-09,"58,904","2,686",Maryland
2020-06-10,"59,465","2,719",Maryland
2020-06-11,"60,197","2,750",Maryland
2020-06-12,"60,613","2,773",Maryland
2020-06-13,"61,305","2,799",Maryland
2020-06-14,"61,701","2,811",Maryland
2020-06-15,"62,032","2,817",Maryland
2020-06-16,"62,409","2,851",Maryland
2020-06-17,"62,969","2,866",Maryland
2020-06-18,"63,229","2,886",Maryland
2020-06-19,"63,548","2,901",Maryland
2020-06-20,"63,956","2,923",Maryland
2020-06-21,"64,306","2,937",Maryland
2020-06-22,"64,603","2,945",Maryland
2020-06-23,"65,007","2,963",Maryland
2020-06-24,"65,337","2,978",Maryland
2020-06-25,"65,777","3,001",Maryland
2020-06-26,"66,115","3,015",Maryland
2020-06-27,"66,450","3,030",Maryland
2020-06-28,"66,777","3,042",Maryland
2020-06-29,"67,254","3,048",Maryland
2020-06-30,"67,559","3,062",Maryland
2020-07-01,"67,918","3,077",Maryland
2020-07-02,"68,423","3,086",Maryland
2020-07-03,"68,961","3,099",Maryland
2020-07-04,"69,341","3,111",Maryland
2020-07-05,"69,632","3,118",Maryland
2020-07-06,"69,904","3,121",Maryland
2020-07-07,"70,396","3,140",Maryland
2020-07-08,"70,861","3,149",Maryland
2020-07-09,"71,447","3,160",Maryland
2020-07-10,"71,910","3,172",Maryland
2020-07-11,"72,467","3,179",Maryland
2020-07-12,"73,109","3,188",Maryland
2020-07-13,"73,527","3,194",Maryland
2020-07-14,"74,260","3,202",Maryland
2020-07-15,"75,016","3,209",Maryland
2020-07-16,"75,664","3,215",Maryland
2020-07-17,"76,371","3,227",Maryland
2020-07-18,"77,206","3,238",Maryland
2020-07-19,"78,131","3,247",Maryland
2020-07-20,"78,685","3,252",Maryland
2020-07-21,"79,545","3,272",Maryland
2020-07-22,"80,172","3,276",Maryland
2020-07-23,"80,836","3,281",Maryland
2020-07-24,"81,776","3,293",Maryland
2020-07-25,"83,054","3,304",Maryland
2020-07-26,"83,748","3,309",Maryland
2020-07-27,"84,876","3,315",Maryland
2020-07-28,"85,524","3,327",Maryland
2020-07-29,"86,285","3,347",Maryland
2020-07-30,"87,177","3,357",Maryland
2020-07-31,"88,346","3,362",Maryland
2020-08-01,"89,365","3,374",Maryland
2020-08-02,"90,274","3,381",Maryland
2020-08-03,"91,144","3,389",Maryland
2020-08-04,"91,854","3,396",Maryland
2020-08-05,"92,426","3,402",Maryland
2020-08-06,"93,005","3,415",Maryland
2020-08-07,"93,806","3,429",Maryland
2020-08-08,"94,581","3,440",Maryland
2020-08-09,"95,503","3,448",Maryland
2020-08-10,"96,258","3,454",Maryland
2020-08-11,"96,843","3,467",Maryland
2020-08-12,"97,384","3,474",Maryland
2020-08-13,"98,160","3,483",Maryland
2020-08-14,"98,875","3,495",Maryland
2020-08-15,"99,693","3,499",Maryland
2020-08-16,"100,212","3,502",Maryland
2020-08-17,"100,715","3,504",Maryland
2020-08-18,"101,235","3,511",Maryland
2020-08-19,"101,649","3,522",Maryland
2020-08-20,"102,229","3,531",Maryland
2020-08-21,"102,899","3,536",Maryland
2020-08-22,"103,523","3,546",Maryland
2020-08-23,"104,102","3,552",Maryland
2020-08-24,"104,669","3,554",Maryland
2020-08-25,"105,046","3,564",Maryland
2020-08-26,"105,486","3,574",Maryland
2020-08-27,"106,063","3,580",Maryland
2020-08-28,"106,664","3,593",Maryland
2020-08-29,"107,294","3,603",Maryland
2020-08-30,"107,791","3,609",Maryland
2020-08-31,"108,249","3,612",Maryland
