date,confirmed,deaths,state
2020-03-09,1,0,Louisiana
2020-03-10,6,0,Louisiana
2020-03-11,13,0,Louisiana
2020-03-12,14,0,Louisiana
2020-03-13,36,0,Louisiana
2020-03-14,77,1,Louisiana
2020-03-15,103,2,Louisiana
2020-03-16,137,3,Louisiana
2020-03-17,196,5,Louisiana
2020-03-18,280,7,Louisiana
2020-03-19,392,10,Louisiana
2020-03-20,537,10,Louisiana
2020-03-21,763,16,Louisiana
2020-03-22,837,20,Louisiana
2020-03-23,"1,172",34,Louisiana
2020-03-24,"1,388",46,Louisiana
2020-03-25,"1,795",65,Louisiana
2020-03-26,"2,305",83,Louisiana
2020-03-27,"2,746",119,Louisiana
2020-03-28,"3,315",137,Louisiana
2020-03-29,"3,539",153,Louisiana
2020-03-30,"4,024",186,Louisiana
2020-03-31,"5,237",240,Louisiana
2020-04-01,"6,424",275,Louisiana
2020-04-02,"9,152",310,Louisiana
2020-04-03,"10,299",370,Louisiana
2020-04-04,"12,500",412,Louisiana
2020-04-05,"13,014",477,Louisiana
2020-04-06,"14,867",512,Louisiana
2020-04-07,"16,284",582,Louisiana
2020-04-08,"17,030",652,Louisiana
2020-04-09,"18,283",702,Louisiana
2020-04-10,"19,253",755,Louisiana
2020-04-11,"20,014",806,Louisiana
2020-04-12,"20,595",840,Louisiana
2020-04-13,"21,016",884,Louisiana
2020-04-14,"21,518","1,013",Louisiana
2020-04-15,"21,951","1,103",Louisiana
2020-04-16,"22,532","1,156",Louisiana
2020-04-17,"23,118","1,213",Louisiana
2020-04-18,"23,580","1,267",Louisiana
2020-04-19,"23,928","1,296",Louisiana
2020-04-20,"24,523","1,328",Louisiana
2020-04-21,"24,854","1,405",Louisiana
2020-04-22,"25,317","1,532",Louisiana
2020-04-23,"25,798","1,599",Louisiana
2020-04-24,"26,199","1,660",Louisiana
2020-04-25,"26,571","1,703",Louisiana
2020-04-26,"26,832","1,729",Louisiana
2020-04-27,"27,111","1,740",Louisiana
