date,confirmed,deaths,state
2020-03-09,3,0,Ohio
2020-03-10,3,0,Ohio
2020-03-11,4,0,Ohio
2020-03-12,5,0,Ohio
2020-03-13,13,0,Ohio
2020-03-14,26,0,Ohio
2020-03-15,37,0,Ohio
2020-03-16,50,0,Ohio
2020-03-17,67,0,Ohio
2020-03-18,88,0,Ohio
2020-03-19,119,0,Ohio
2020-03-20,169,1,Ohio
2020-03-21,247,3,Ohio
2020-03-22,351,3,Ohio
2020-03-23,442,6,Ohio
2020-03-24,564,8,Ohio
2020-03-25,704,10,Ohio
2020-03-26,867,15,Ohio
2020-03-27,"1,137",19,Ohio
2020-03-28,"1,406",25,Ohio
2020-03-29,"1,653",29,Ohio
2020-03-30,"1,933",39,Ohio
2020-03-31,"2,199",55,Ohio
2020-04-01,"2,547",65,Ohio
2020-04-02,"2,902",81,Ohio
2020-04-03,"3,312",91,Ohio
2020-04-04,"3,739",102,Ohio
2020-04-05,"4,043",119,Ohio
2020-04-06,"4,450",142,Ohio
2020-04-07,"4,782",167,Ohio
2020-04-08,"5,148",193,Ohio
2020-04-09,"5,512",213,Ohio
2020-04-10,"5,878",231,Ohio
2020-04-11,"6,250",247,Ohio
2020-04-12,"6,604",253,Ohio
2020-04-13,"6,975",274,Ohio
2020-04-14,"7,280",324,Ohio
2020-04-15,"7,791",361,Ohio
2020-04-16,"8,414",389,Ohio
2020-04-17,"9,107",418,Ohio
2020-04-18,"10,222",451,Ohio
2020-04-19,"11,602",471,Ohio
2020-04-20,"12,919",509,Ohio
2020-04-21,"13,725",557,Ohio
2020-04-22,"14,117",610,Ohio
2020-04-23,"14,694",656,Ohio
2020-04-24,"15,169",690,Ohio
2020-04-25,"15,587",711,Ohio
2020-04-26,"15,963",728,Ohio
2020-04-27,"16,325",753,Ohio
2020-04-28,"16,769",799,Ohio
2020-04-29,"17,303",937,Ohio
2020-04-30,"18,027",975,Ohio
2020-05-01,"18,743","1,002",Ohio
2020-05-02,"19,335","1,021",Ohio
2020-05-03,"19,914","1,038",Ohio
2020-05-04,"20,474","1,056",Ohio
2020-05-05,"20,969","1,135",Ohio
2020-05-06,"21,576","1,225",Ohio
2020-05-07,"22,131","1,271",Ohio
2020-05-08,"23,016","1,306",Ohio
2020-05-09,"23,697","1,331",Ohio
2020-05-10,"24,081","1,341",Ohio
2020-05-11,"24,777","1,357",Ohio
2020-05-12,"25,250","1,436",Ohio
2020-05-13,"25,721","1,483",Ohio
2020-05-14,"26,357","1,534",Ohio
2020-05-15,"26,954","1,581",Ohio
2020-05-16,"27,474","1,610",Ohio
2020-05-17,"27,923","1,625",Ohio
